1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
debbie63@gmail.com,Postgraduate,Education,Not familiar at all,None,None,1,None,predictive analytics-powered writing assistance system,Maybe,Create Mathematics-specific model using Time-series analysis that enables resource recommendation
armstrong_n@gmail.com,Undergraduate,Education,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",3,None,predictive analytics-powered automated grading system,Maybe,Develop Graph Neural Networks to predict course difficulty in Mathematics for curriculum optimization
christine76@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"ChatGPT, Microsoft Copilot","ChatGPT, Microsoft Copilot",2,None,knowledge graphs-powered writing assistance system,Yes,LSTM networks-based system for adaptive testing focusing on dropout risk in Engineering fundamentals
thomas28@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",3,"None, Limited awareness of available AI tools",knowledge graphs-powered plagiarism detection system,No,Develop LSTM networks to predict knowledge retention in Programming for curriculum optimization
suzanne24@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,Lack of access to devices or internet,Personalized programming learning coach,Maybe,Develop Graph Neural Networks to predict knowledge retention in Mathematics for tutor matching
michelle33@gmail.com,Undergraduate,Engineering,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",3,None,AI teaching assistant that visualizes cognitive load,Yes,Implement real-time student performance prediction in Engineering fundamentals courses with Transformer models
robert23@gmail.com,Postgraduate,Engineering,Somewhat familiar,"IBM Watson, Microsoft Copilot","IBM Watson, Microsoft Copilot",2,"Limited awareness of available AI tools, Integration with existing systems",AI teaching assistant that adapts to cognitive load,No,Create Mathematics-specific model using Bayesian networks that enables adaptive testing
stephanie24@gmail.com,Postgraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,NLP-powered automated grading system,Yes,Implement real-time learning gaps prediction in Clinical skills courses with Bayesian networks
paul_m@gmail.com,Postgraduate,Health Sciences,Very familiar,"Microsoft Copilot, IBM Watson, Grammarly, GitHub Copilot","Microsoft Copilot, IBM Watson, Grammarly, GitHub Copilot",3,"Integration with existing systems, None",predictive analytics-powered plagiarism detection system,No,Create Business courses-specific model using Ensemble methods that enables curriculum optimization
melissa33@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,reinforcement learning-powered code debugging system,Maybe,Create Language learning-specific model using Bayesian networks that enables resource recommendation
katherine93@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,ChatGPT,ChatGPT,3,None,predictive analytics-powered code debugging system,Yes,Create Business courses-specific model using Time-series analysis that enables personalized learning paths
francisco.simmons@gmail.com,Postgraduate,Education,Very familiar,"ChatGPT, GitHub Copilot, IBM Watson, Grammarly","ChatGPT, GitHub Copilot, IBM Watson, Grammarly",5,Technical issues with tools/platforms,NLP-powered plagiarism detection system,Maybe,Create Language learning-specific model using Random Forests that enables early warning systems
bond_r@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,Lack of training on how to use AI tools,NLP-powered plagiarism detection system,Yes,Implement real-time learning gaps prediction in Engineering fundamentals courses with Bayesian networks
ortiz_d@gmail.com,Other,Business,Somewhat familiar,Grammarly,Grammarly,2,None,Real-time clinical skills error detection,No,Implement real-time learning gaps prediction in Language learning courses with Transformer models
thomas45@gmail.com,Undergraduate,Business,Very familiar,"IBM Watson, ChatGPT, Grammarly, Microsoft Copilot","IBM Watson, ChatGPT, Grammarly, Microsoft Copilot",4,Privacy concerns,AI teaching assistant that visualizes knowledge gaps,Yes,Time-series analysis-based system for curriculum optimization focusing on knowledge retention in Business courses
john.smith@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,Cost of implementation,reinforcement learning-powered code debugging system,No,Implement real-time knowledge retention prediction in Clinical skills courses with Random Forests
david91@gmail.com,Postgraduate,Business,Somewhat familiar,"Turnitin, GitHub Copilot","Turnitin, GitHub Copilot",3,None,Real-time math error detection,Maybe,Create Language learning-specific model using Ensemble methods that enables curriculum optimization
elijah.williams@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,predictive analytics-powered code debugging system,No,Implement real-time skill mastery prediction in Business courses courses with Time-series analysis
rodgers_j@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that predicts learning styles,No,Develop Graph Neural Networks to predict knowledge retention in Language learning for early warning systems
jared25@gmail.com,Postgraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,2,None,Automated math problem generator,Yes,Develop Time-series analysis to predict knowledge retention in Mathematics for resource recommendation
ryan.larson@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,NLP-powered automated grading system,Maybe,Implement real-time engagement levels prediction in Language learning courses with Ensemble methods
smithd@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,knowledge graphs-powered plagiarism detection system,Yes,Create cloud-based AI lab environments
keith.carr@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,Privacy concerns,computer vision-powered code debugging system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for tutor matching
barnes_j@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Grammarly, Microsoft Copilot","Grammarly, Microsoft Copilot",3,None,AI teaching assistant that predicts knowledge gaps,Maybe,Graph Neural Networks-based system for adaptive testing focusing on engagement levels in Business courses
hartman_s@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,Cost of implementation,Real-time math error detection,Yes,Create Business courses-specific model using Ensemble methods that enables curriculum optimization
misty25@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that predicts knowledge gaps,Yes,Time-series analysis-based system for curriculum optimization focusing on knowledge retention in Business courses
cortezj@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, ChatGPT","Turnitin, ChatGPT",2,None,predictive analytics-powered plagiarism detection system,No,LSTM networks-based system for adaptive testing focusing on course difficulty in Business courses
collinsm@gmail.com,Other,Engineering,Very familiar,"Turnitin, Grammarly, Microsoft Copilot","Turnitin, Grammarly, Microsoft Copilot",3,"Cost of implementation, Privacy concerns",Real-time languages error detection,Maybe,Develop Transformer models to predict knowledge retention in Mathematics for adaptive testing
amy.olson@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,NLP-powered code debugging system,Yes,Implement real-time learning gaps prediction in Engineering fundamentals courses with LSTM networks
cisnerosj@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,3,"Privacy concerns, Technical issues with tools/platforms",Real-time math error detection,No,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
whitney.frank@gmail.com,Postgraduate,Business,Somewhat familiar,"IBM Watson, Microsoft Copilot","IBM Watson, Microsoft Copilot",2,None,computer vision-powered automated grading system,Yes,Develop Bayesian networks to predict engagement levels in Engineering fundamentals for resource recommendation
timothy65@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Yes,Implement real-time engagement levels prediction in Language learning courses with Ensemble methods
jose11@gmail.com,Postgraduate,Education,Very familiar,"Grammarly, Turnitin, IBM Watson","Grammarly, Turnitin, IBM Watson",5,Limited awareness of available AI tools,Personalized math learning coach,No,Random Forests-based system for curriculum optimization focusing on skill mastery in Business courses
youngc@gmail.com,Undergraduate,Business,Very familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",5,None,predictive analytics-powered plagiarism detection system,Maybe,LSTM networks-based system for early warning systems focusing on engagement levels in Language learning
kelly57@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,knowledge graphs-powered concept visualization system,Yes,Develop LSTM networks to predict knowledge retention in Programming for curriculum optimization
natalie.dawson@gmail.com,Postgraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,2,"Cost of implementation, Lack of access to devices or internet",NLP-powered concept visualization system,Yes,Implement real-time skill mastery prediction in Business courses courses with Ensemble methods
ryan.curry@gmail.com,Other,Business,Not familiar at all,None,None,1,None,reinforcement learning-powered concept visualization system,Yes,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
erica76@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"ChatGPT, GitHub Copilot","ChatGPT, GitHub Copilot",3,Cost of implementation,predictive analytics-powered code debugging system,Maybe,Ensemble methods-based system for curriculum optimization focusing on engagement levels in Programming
kim48@gmail.com,Postgraduate,Education,Very familiar,"GitHub Copilot, Grammarly, IBM Watson, ChatGPT","GitHub Copilot, Grammarly, IBM Watson, ChatGPT",3,None,predictive analytics-powered automated grading system,Maybe,Implement real-time course difficulty prediction in Mathematics courses with Transformer models
derek91@gmail.com,Undergraduate,Business,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,computer vision-powered automated grading system,Yes,Bayesian networks-based system for curriculum optimization focusing on engagement levels in Business courses
tracey.smith@gmail.com,Undergraduate,Education,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",3,"Privacy concerns, Integration with existing systems",knowledge graphs-powered plagiarism detection system,Maybe,Random Forests-based system for curriculum optimization focusing on skill mastery in Engineering fundamentals
